ID,x,y,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
46,587688.7029,6139548.071,Totalstation,Misc,Electrical display,13/12/2020,,,,,
48,587609.7134,6139576.379,Totalstation,Downspout Grille,,13/12/2020,,,,,
49,587610.0482,6139573.22,Totalstation,Downspout Grille,,13/12/2020,,,,,
50,587600.1849,6139573.805,Totalstation,Downspout Grille,,13/12/2020,,,,,
51,587590.5097,6139571.24,Totalstation,Downspout Grille,,13/12/2020,,,,,
52,587577.6432,6139567.388,Totalstation,Downspout Grille,,13/12/2020,,,,,
53,587566.1626,6139564.007,Totalstation,Downspout Grille,,13/12/2020,,,,,
54,587555.1941,6139560.126,Totalstation,Downspout Grille,,13/12/2020,,,,,
55,587545.713,6139556.835,Totalstation,Downspout Grille,,13/12/2020,,,,,
56,587533.9251,6139552.518,Totalstation,Downspout Grille,,13/12/2020,,,,,
57,587524.0076,6139549.089,Totalstation,Downspout Grille,,13/12/2020,,,,,
58,587528.3306,6139552.957,Totalstation,Downspout Grille,,13/12/2020,,,,,
59,587544.437,6139557.959,Totalstation,Downspout Grille,,13/12/2020,,,1034131618,,
60,587555.1854,6139562.027,Totalstation,Downspout Grille,,13/12/2020,,,,,
61,587571.881,6139568.253,Totalstation,Downspout Grille,,13/12/2020,,,,,
62,587584.3441,6139572.792,Totalstation,Downspout Grille,,13/12/2020,,,,,
63,587596.1171,6139577.327,Totalstation,Downspout Grille,,13/12/2020,,,,,
64,587609.6672,6139582.105,Totalstation,Downspout Grille,,13/12/2020,,,,,
65,587607.4641,6139588.064,Totalstation,Downspout Grille,,13/12/2020,,,,,
66,587590.4577,6139581.745,Totalstation,Downspout Grille,,13/12/2020,,,,,
67,587573.6472,6139575.439,Totalstation,Downspout Grille,,13/12/2020,,,,,
68,587559.5428,6139570.196,Totalstation,Downspout Grille,,13/12/2020,,,,,
69,587545.4505,6139564.978,Totalstation,Downspout Grille,,13/12/2020,,,,,
70,587525.5673,6139557.837,Totalstation,Downspout Grille,,13/12/2020,,,,,
71,587524.1158,6139561.373,Totalstation,Downspout Grille,,13/12/2020,,,,,
72,587534.3852,6139564.721,Totalstation,Downspout Grille,,13/12/2020,,,,,
73,587545.2459,6139568.276,Totalstation,Downspout Grille,,13/12/2020,,,,,
74,587550.15,6139570.287,Totalstation,Downspout Grille,,13/12/2020,,,,,
75,587555.3268,6139571.879,Totalstation,Downspout Grille,,13/12/2020,,,,,
76,587567.6182,6139576.304,Totalstation,Downspout Grille,,13/12/2020,,,,,
77,587579.7505,6139580.596,Totalstation,Downspout Grille,,13/12/2020,,,,,
78,587589.1068,6139583.932,Totalstation,Downspout Grille,,13/12/2020,,,,,
79,587607.0195,6139590.396,Totalstation,Downspout Grille,,13/12/2020,,,,,
80,587609.228,6139595.796,Totalstation,Downspout Grille,,13/12/2020,,,,,
81,587601.2855,6139613.166,Totalstation,Downspout Grille,,13/12/2020,,,,,
82,587569.2221,6139669.905,Totalstation,Downspout Grille,,13/12/2020,,,,,
83,587564.4452,6139680.66,Totalstation,Downspout Grille,,13/12/2020,,,,,
84,587570.6087,6139670.344,Totalstation,Downspout Grille,,13/12/2020,,,,,
85,587575.374,6139665.492,Totalstation,Downspout Grille,,13/12/2020,,,,,
86,587579.7814,6139658.143,Totalstation,Downspout Grille,,13/12/2020,,,,,
87,587584.8845,6139648.543,Totalstation,Downspout Grille,,13/12/2020,,,,,
88,587586.6068,6139639.807,Totalstation,Downspout Grille,,13/12/2020,,,,,
89,587593.8879,6139629.444,Totalstation,Downspout Grille,,13/12/2020,,,,,
90,587603.8774,6139615.28,Totalstation,Downspout Grille,,13/12/2020,,,,,
91,587606.5745,6139607.698,Totalstation,Downspout Grille,,13/12/2020,,,,,
92,587613.2413,6139603.678,Totalstation,Downspout Grille,,13/12/2020,,,,,
93,587607.545,6139616.961,Totalstation,Downspout Grille,,13/12/2020,,,,,
94,587597.5707,6139631.055,Totalstation,Downspout Grille,,13/12/2020,,,,,
95,587593.3673,6139638.326,Totalstation,Downspout Grille,,13/12/2020,,,,,
96,587587.2226,6139652.444,Totalstation,Downspout Grille,,13/12/2020,,,,,
97,587581.4691,6139662.65,Totalstation,Downspout Grille,,13/12/2020,,,,,
98,587575.7441,6139671.896,Totalstation,Downspout Grille,,13/12/2020,,,,,
99,587569.8334,6139680.071,Totalstation,Downspout Grille,,13/12/2020,,,,,
100,587619.3245,6139600.377,Totalstation,Downspout Grille,,13/12/2020,,,,,
101,587693.0314,6139641.388,Totalstation,Downspout Grille,,13/12/2020,,,,,
102,587700.6011,6139647.742,Totalstation,Downspout Grille,,13/12/2020,,,,,
103,587685.4247,6139635.965,Totalstation,Downspout Grille,,13/12/2020,,,,,
104,587677.3353,6139630.347,Totalstation,Downspout Grille,,13/12/2020,,,,,
105,587669.1652,6139625.522,Totalstation,Downspout Grille,,13/12/2020,,,,,
106,587658.9391,6139618.78,Totalstation,Downspout Grille,,13/12/2020,,,,,
107,587652.5536,6139614.584,Totalstation,Downspout Grille,,13/12/2020,,,,,
108,587647.2037,6139609.727,Totalstation,Downspout Grille,,13/12/2020,,,,,
109,587636.0881,6139602.421,Totalstation,Downspout Grille,,13/12/2020,,,,,
110,587625.5503,6139595.458,Totalstation,Downspout Grille,,13/12/2020,,,,,
111,587633.5995,6139595.08,Totalstation,Downspout Grille,,13/12/2020,,,,,
112,587638.0835,6139599.137,Totalstation,Downspout Grille,,13/12/2020,,,,,
113,587649.2953,6139606.511,Totalstation,Downspout Grille,,13/12/2020,,,1034131734,,
114,587661.7014,6139614.684,Totalstation,Downspout Grille,,13/12/2020,,,,,
115,587670.7851,6139619.378,Totalstation,Downspout Grille,,13/12/2020,,,,,
116,587671.9313,6139621.416,Totalstation,Downspout Grille,,13/12/2020,,,,,
117,587680.0144,6139626.759,Totalstation,Downspout Grille,,13/12/2020,,,,,
118,587690.1059,6139633.401,Totalstation,Downspout Grille,,13/12/2020,,,1034131735,,
119,587697.986,6139639.262,Totalstation,Downspout Grille,,13/12/2020,,,,,
120,587710.8197,6139651.546,Totalstation,Downspout Grille,,13/12/2020,,,,,
121,587610.3878,6139590.646,Totalstation,Tree,,13/12/2020,,,1034116583,,
122,587604.9432,6139578.663,Totalstation,Tree,,13/12/2020,,,,,
123,587599.5178,6139576.579,Totalstation,Tree,,13/12/2020,,,,,
124,587593.8638,6139574.398,Totalstation,Tree,,13/12/2020,,,,,
125,587588.1311,6139572.313,Totalstation,Tree,,13/12/2020,,,,,
126,587582.473,6139570.127,Totalstation,Tree,,13/12/2020,,,,,
127,587569.9307,6139576.039,Totalstation,Tree,,13/12/2020,,,1034116808,,
128,587564.5044,6139574.094,Totalstation,Tree,,13/12/2020,,,1034116807,,
129,587559.1656,6139572.068,Totalstation,Tree,,13/12/2020,,,,,
130,587553.2454,6139569.704,Totalstation,Tree,,13/12/2020,,,,,
131,587547.7646,6139567.834,Totalstation,Tree,,13/12/2020,,,1034116806,,
132,587526.4427,6139560.572,Totalstation,Tree,,13/12/2020,,,1034116576,,
133,587525.4824,6139550.883,Totalstation,Tree,,13/12/2020,,,1034116577,,
134,587620.4445,6139595.921,Totalstation,Tree,,13/12/2020,,,1034116584,,
135,587604.6618,6139611.665,Totalstation,Tree,,13/12/2020,,,1034132305,,
136,587602.501,6139624.089,Totalstation,Tree,,13/12/2020,,,1034116585,,
137,587594.0253,6139638.511,Totalstation,Tree,,13/12/2020,,,1034116586,,
138,587577.5671,6139658.49,Totalstation,Tree,,13/12/2020,,,1034116587,,
139,587573.3657,6139676.055,Totalstation,Tree,,13/12/2020,,,1034116588,,
140,587618.4847,6139588.842,Totalstation,Light Fixture,,13/12/2020,45574,,,,
141,587606.624,6139589.182,Totalstation,Light Fixture,,13/12/2020,18648,,,,
142,587609.6094,6139580.505,Totalstation,Light Fixture,,13/12/2020,45556,,,,
143,587596.2882,6139579.59,Totalstation,Light Fixture,,13/12/2020,45573,,,,
144,587573.9342,6139572.162,Totalstation,Light Fixture,,13/12/2020,45572,,,,
145,587574.0289,6139577.053,Totalstation,Light Fixture,,13/12/2020,45557,,1034131608,,
146,587572.5137,6139567.719,Totalstation,Light Fixture,,13/12/2020,18802,,,,
147,587552.2722,6139564.856,Totalstation,Light Fixture,,13/12/2020,24970,,,,
148,587543.803,6139565.89,Totalstation,Light Fixture,,13/12/2020,45558,,,,
149,587530.9086,6139557.132,Totalstation,Light Fixture,,13/12/2020,45571,,,,
150,587617.5487,6139598.963,Totalstation,Light Fixture,,13/12/2020,45563,,1034131742,,
151,587612.1687,6139601.64,Totalstation,Light Fixture,,13/12/2020,45704,,,,
152,587603.7652,6139613.258,Totalstation,Light Fixture,,13/12/2020,45690,,,,
153,587601.0695,6139627.789,Totalstation,Light Fixture,,13/12/2020,45691,,,,
154,587576.9149,6139659.572,Totalstation,Light Fixture,,13/12/2020,15859,,1034131983,,
155,587572.4067,6139677.83,Totalstation,Light Fixture,,13/12/2020,45692,,,,
156,587570.8716,6139674.524,Totalstation,Light Fixture,,13/12/2020,45707,,,,
157,587585.2353,6139649.495,Totalstation,Light Fixture,,13/12/2020,45706,,,,
158,587599.0965,6139624.995,Totalstation,Light Fixture,,18/12/2020,45705,,,,
159,587642.4764,6139604.375,Totalstation,Light Fixture,,18/12/2020,45575,,,,
160,587667.3652,6139620.805,Totalstation,Light Fixture,,18/12/2020,45576,,,,
161,587690.0106,6139636.464,Totalstation,Light Fixture,,18/12/2020,45577,,,,
162,587630.1655,6139588.285,Totalstation,Light Fixture,,18/12/2020,45522,,1034131741,,
163,587618.5122,6139590.515,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
164,587619.1865,6139595.327,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
165,587632.9554,6139596.171,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
166,587692.7456,6139637.497,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
167,587667.1474,6139622.887,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
168,587657.4866,6139616.306,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
169,587613.7071,6139593.451,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
170,587602.1779,6139588.65,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
171,587593.8889,6139584.923,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
172,587566.8511,6139572.089,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
173,587523.312,6139556.82,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
174,587542.2081,6139560.625,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
175,587567.4877,6139569.499,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
176,587614.5834,6139582.933,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
177,587615.3729,6139583.494,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
178,587618.5846,6139577.666,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
179,587630.6333,6139589.25,Totalstation,Trash Can,,18/12/2020,,,,,
180,587668.0735,6139618.215,Totalstation,Trash Can,,18/12/2020,,,,,
181,587596.2174,6139635.36,Totalstation,Trash Can,,18/12/2020,,,,,
182,587573.1086,6139677.407,Totalstation,Trash Can,,18/12/2020,,,,,
183,587574.7255,6139664.058,Totalstation,Trash Can,,18/12/2020,,,,,
184,587603.3202,6139588.047,Totalstation,Trash Can,,18/12/2020,,,,,
185,587551.7001,6139569.855,Totalstation,Trash Can,,18/12/2020,,,,,
186,587595.1548,6139575.096,Totalstation,Trash Can,,18/12/2020,,,,,
187,587631.0719,6139590.803,Totalstation,Bench,,18/12/2020,,,,,
188,587610.9961,6139597.584,Totalstation,Bench,,18/12/2020,,,,,
189,587601.9781,6139614.665,Totalstation,Bench,,18/12/2020,,,,,
190,587595.3554,6139636.633,Totalstation,Bench,,18/12/2020,,,,,
191,587578.7029,6139657.677,Totalstation,Bench,,18/12/2020,,,,,
192,587603.8888,6139588.758,Totalstation,Bench,,18/12/2020,,,,,
193,587525.0806,6139560.727,Totalstation,Bench,,18/12/2020,,,,,
194,587634.2782,6139593.205,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
195,587638.1678,6139598.106,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
196,587643.4228,6139601.629,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
197,587678.3848,6139624.35,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
198,587604.9663,6139611.895,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
199,587602.3795,6139624.036,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
200,587593.9326,6139638.426,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
201,587583.4778,6139648.302,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
202,587581.7461,6139651.029,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
203,587577.1354,6139658.377,Totalstation,Greenery,Plants inside bars,18/12/2020,,,,,
204,587585.7961,6139572.154,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
205,587577.4972,6139569.418,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
206,587570.1621,6139566.969,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
207,587528.4813,6139552.263,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
208,587536.6357,6139552.686,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
209,587551.3266,6139558.027,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
210,587585.6778,6139569.031,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
211,587596.8899,6139575.748,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
212,587604.5117,6139573.91,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
213,587604.9226,6139573.864,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
214,587616.7043,6139577.336,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
215,587624.5893,6139578.691,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
216,587635.0336,6139571.399,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
217,587634.7403,6139583.68,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
218,587639.8382,6139596.2,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
219,587645.8945,6139601.423,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
220,587659.9257,6139610.671,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
221,587663.2721,6139614.208,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
222,587669.4244,6139616.923,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
223,587678.8883,6139623.302,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
224,587687.9758,6139628.766,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
225,587697.6149,6139634.61,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
226,587692.4674,6139641.466,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
227,587684.6921,6139636.024,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
228,587674.607,6139630.738,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
229,587667.016,6139624.166,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
230,587662.6098,6139623.325,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
231,587646.8428,6139610.672,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
232,587645.7934,6139609.596,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
233,587626.8632,6139601.674,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
234,587622.2813,6139599.274,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
235,587589.8612,6139651.871,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
236,587568.7329,6139688.332,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
237,587571.7659,6139662.277,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
238,587576.3938,6139657.758,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
239,587581.0585,6139646.188,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
240,587581.1999,6139645.582,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
241,587590.2235,6139630.233,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
242,587537.8058,6139622.776,Totalstation,Tree,,18/12/2020,,,1034116650,,
243,587529.3376,6139617.85,Totalstation,Tree,,18/12/2020,,,1034116651,,
244,587520.4013,6139632.385,Totalstation,Tree,,18/12/2020,,,1034116653,,
245,587529.0578,6139637.472,Totalstation,Tree,,18/12/2020,,,1034116652,,
246,587536.7094,6139647.531,Totalstation,Tree,,18/12/2020,,,1034116666,,
247,587538.9198,6139643.666,Totalstation,Tree,,18/12/2020,,,1034116667,,
248,587548.5133,6139627.59,Totalstation,Tree,,18/12/2020,,,,,
249,587539.3254,6139637.157,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
250,587555.5142,6139611.313,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
251,587579.3319,6139616.884,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
252,587581.005,6139611.737,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
253,587550.3565,6139620.084,Totalstation,Manhole Cover,Large,18/12/2020,,,1034132063,,
254,587559.3715,6139609.916,Totalstation,Downspout Grille,,18/12/2020,,,1034131985,,
255,587568.0242,6139612.667,Totalstation,Downspout Grille,,18/12/2020,,,1034131987,,
256,587574.2465,6139624.114,Totalstation,Manhole Cover,Large,18/12/2020,,,,,
257,587545.9769,6139606.636,Totalstation,Downspout Grille,,18/12/2020,,,,,
258,587539.5097,6139604.728,Totalstation,Downspout Grille,,18/12/2020,,,,,
259,587533.5669,6139602.567,Totalstation,Downspout Grille,,18/12/2020,,,,,
260,587523.0219,6139613.197,Totalstation,Downspout Grille,,18/12/2020,,,,,
261,587514.3788,6139628.003,Totalstation,Downspout Grille,,18/12/2020,,,,,
262,587535.9958,6139647.406,Totalstation,Downspout Grille,,18/12/2020,,,,,
263,587543.8189,6139655.608,Totalstation,Downspout Grille,,18/12/2020,,,1034131924,,
264,587550.3642,6139643.83,Totalstation,Downspout Grille,,18/12/2020,,,1034131925,,
265,587548.5104,6139604.952,Totalstation,Trash Can,,18/12/2020,,,,,
266,587577.8086,6139614.573,Totalstation,Statue,,18/12/2020,,,,,
267,587579.3178,6139621.41,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
268,587579.2462,6139622.205,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
269,587576.7876,6139626.446,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
270,587544.1889,6139653.734,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
271,587513.7843,6139624.478,Totalstation,Manhole Cover,Various covers,18/12/2020,,,,,
272,587613.674,6139574.295,Totalstation,Downspout Grille,,23/01/2020,,,,,
273,587598.194,6139587.287,Totalstation,Downspout Grille,,23/01/2020,,,,,
274,587608.391,6139593.067,Totalstation,Downspout Grille,,23/01/2020,,,,,
275,587585.346,6139583.459,Totalstation,Fuse Box,,23/01/2020,,,,,
276,587616.786,6139590.829,Totalstation,Statue,,23/01/2020,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Downspout Grille,,,,,1210521480,,
,,,,Downspout Grille,,,,,1210521421,,
,,,,Downspout Grille,,,,,1034131805,,
,,,,Downspout Grille,,,,,1034131813,,
,,,,Downspout Grille,,,,,1034131812,,
,,,,Downspout Grille,,,,,1034131725,,
,,,,Downspout Grille,,,,,1034131723,,
,,,,Downspout Grille,,,,,1034131724,,
,,,,Downspout Grille,,,,,1034131722,,
,,,,Downspout Grille,,,,,1034131721,,
,,,,Downspout Grille,,,,,1034131720,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Light Fixture,,,,,1210520812,,
,,,,Light Fixture,,,,,1034131787,,
,,,,,,,,,,,
,,,,Light Fixture,,,45428,,,,
,,,,Light Fixture,,,45429,,,,
,,,,Light Fixture,,,45538,,,,
,,,,Light Fixture,,,17919,,,,
,,,,Light Fixture,,,45514,,,,
,,,,Light Fixture,,,45515,,,,
,,,,,,,,,,,
,,,,Tree,,,,,1210525905,,
,,,,Tree,,,,,1210525904,,
,,,,Tree,,,,,1034132287,,
,,,,Tree,,,,,1034132286,,
,,,,Tree,,,,,1034116722,,
,,,,Tree,,,,,1034132285,,
